brand,label_arc_long,label_arc_short,label_legend,terpene_val,height_var,label_height_unit,color,
VIP,"Woody, Earthy",Humulene,Sedated,0.52,2.40,%,#ba875d,
VIP,Pine,Pinene,"Alert, Creative, Euphoric",3.52,16.24,%,#668468,
VIP,"Floral, Lavender",Linalool,Anti-Anxiety,5.48,25.28,%,#aa9ac1,
VIP,"Sawdust, grassy, light",Caryophyllene,None-unknown,2.20,10.15,%,#b7cf6e,
VIP,"Vanilla, Clove, Sweet",Myrcene,Body High,9.96,45.94,%,#a86c60,
VIP,Lemon,Limonene,"Elevated Mood, Stress Relief",0.00,0.00,%,#eac843,
OGMatic,"Woody, Earthy",Humulene,Sedated,1.625,6.28,%,#ba875d,
OGMatic,Pine,Pinene,"Alert, Creative, Euphoric",1.0608,4.10,%,#668468,
OGMatic,"Floral, Lavender",Linalool,Anti-Anxiety,5.395,20.86,%,#aa9ac1,
OGMatic,"Sawdust, grassy, light",Caryophyllene,None-unknown,3.614,13.97,%,#b7cf6e,
OGMatic,"Vanilla, Clove, Sweet",Myrcene,Body High,4.186,16.18,%,#a86c60,
OGMatic,Lemon,Limonene,"Elevated Mood, Stress Relief",9.984,38.60,%,#eac843,
Alien OG,"Woody, Earthy",Humulene,Sedated,2.75,7.87,%,#ba875d,
Alien OG,Pine,Pinene,"Alert, Creative, Euphoric",7.15,20.47,%,#668468,
Alien OG,"Floral, Lavender",Linalool,Anti-Anxiety,1.8225,5.22,%,#aa9ac1,
Alien OG,"Sawdust, grassy, light",Caryophyllene,None-unknown,7.25,20.76,%,#b7cf6e,
Alien OG,"Vanilla, Clove, Sweet",Myrcene,Body High,6.275,17.97,%,#a86c60,
Alien OG,Lemon,Limonene,"Elevated Mood, Stress Relief",9.675,27.70,%,#eac843,
Element,"Woody, Earthy",Humulene,Sedated,0,0.00,%,#ba875d,
Element,Pine,Pinene,"Alert, Creative, Euphoric",9.1329,63.68,%,#668468,
Element,"Floral, Lavender",Linalool,Anti-Anxiety,0,0.00,%,#aa9ac1,
Element,"Sawdust, grassy, light",Caryophyllene,None-unknown,2.8455,19.84,%,#b7cf6e,
Element,"Vanilla, Clove, Sweet",Myrcene,Body High,2.3625,16.47,%,#a86c60,
Element,Lemon,Limonene,"Elevated Mood, Stress Relief",0,0.00,%,#eac843,
Girl Scout Cookies,"Woody, Earthy",Humulene,Sedated,3.366,14.08,%,#ba875d,
Girl Scout Cookies,Pine,Pinene,"Alert, Creative, Euphoric",0.4725,1.98,%,#668468,
Girl Scout Cookies,"Floral, Lavender",Linalool,Anti-Anxiety,1.881,7.87,%,#aa9ac1,
Girl Scout Cookies,"Sawdust, grassy, light",Caryophyllene,None-unknown,9.18,38.41,%,#b7cf6e,
Girl Scout Cookies,"Vanilla, Clove, Sweet",Myrcene,Body High,4.572,19.13,%,#a86c60,
Girl Scout Cookies,Lemon,Limonene,"Elevated Mood, Stress Relief",4.428,18.53,%,#eac843,
Vashon Tea,"Woody, Earthy",Humulene,Sedated,2.75,7.87,%,#ba875d,
Vashon Tea,Pine,Pinene,"Alert, Creative, Euphoric",7.15,20.47,%,#668468,
Vashon Tea,"Floral, Lavender",Linalool,Anti-Anxiety,1.8225,5.22,%,#aa9ac1,
Vashon Tea,"Sawdust, grassy, light",Caryophyllene,None-unknown,7.25,20.76,%,#b7cf6e,
Vashon Tea,"Vanilla, Clove, Sweet",Myrcene,Body High,6.275,17.97,%,#a86c60,
Vashon Tea,Lemon,Limonene,"Elevated Mood, Stress Relief",9.675,27.70,%,#eac843,
